Rk,Date,Tm,Unnamed: 3_level_1,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
433,2019-03-13,ORL,@,WAS,L 90-100,240,35,90,.389,23,57,.404,12,33,.364,8,9,.889,90
434,2019-03-13,WAS,,ORL,W 100-90,240,42,90,.467,34,63,.540,8,27,.296,8,12,.667,100
435,2019-03-12,CHI,,LAL,L 107-123,240,42,91,.462,31,64,.484,11,27,.407,12,12,1.000,107
436,2019-03-12,LAL,@,CHI,W 123-107,240,47,86,.547,34,53,.642,13,33,.394,16,20,.800,123
437,2019-03-12,DAL,,SAS,L 105-112,240,38,82,.463,24,43,.558,14,39,.359,15,26,.577,105
438,2019-03-12,SAS,@,DAL,W 112-105,240,43,82,.524,35,60,.583,8,22,.364,18,18,1.000,112
439,2019-03-12,DEN,,MIN,W 133-107,240,51,85,.600,33,55,.600,18,30,.600,13,15,.867,133
440,2019-03-12,MIN,@,DEN,L 107-133,240,41,89,.461,30,59,.508,11,30,.367,14,14,1.000,107
441,2019-03-12,IND,,NYK,W 103-98,240,37,85,.435,29,57,.509,8,28,.286,21,29,.724,103
442,2019-03-12,NYK,@,IND,L 98-103,240,35,80,.438,22,52,.423,13,28,.464,15,18,.833,98
443,2019-03-12,LAC,,POR,L 104-125,240,38,95,.400,29,80,.363,9,15,.600,19,27,.704,104
444,2019-03-12,POR,@,LAC,W 125-104,240,47,96,.490,35,65,.538,12,31,.387,19,26,.731,125
445,2019-03-12,MIL,@,NOP,W 130-113,240,48,97,.495,38,61,.623,10,36,.278,24,28,.857,130
446,2019-03-12,NOP,,MIL,L 113-130,240,46,107,.430,36,60,.600,10,47,.213,11,16,.688,113
447,2019-03-12,CLE,@,PHI,L 99-106,240,40,101,.396,27,63,.429,13,38,.342,6,8,.750,99
448,2019-03-12,PHI,,CLE,W 106-99,240,42,85,.494,34,62,.548,8,23,.348,14,17,.824,106
449,2019-03-11,BRK,,DET,W 103-75,240,39,79,.494,28,48,.583,11,31,.355,14,22,.636,103
